season,week,celebrity_name,share_q10,share_q50,share_q90,rel_ci80
22,1,Ginger Zee,0.00034721767510725865,0.27455872813957466,0.5487702386040421,0.5484230209289348
22,1,Paige VanZant,4.6127234322651534e-05,0.037157483237853485,0.07426883924138432,0.07422271200706167
22,1,Antonio Brown,4.6127234322651534e-05,0.037157483237853485,0.07426883924138432,0.07422271200706167
22,1,Marla Maples,4.6127234322651534e-05,0.037157483237853485,0.07426883924138432,0.07422271200706167
22,1,Von Miller,4.6127234322651534e-05,0.037157483237853485,0.07426883924138432,0.07422271200706167
22,1,Jodie Sweetin,1.6337942330277994e-05,0.013669474168878773,0.027322610395427268,0.02730627245309699
22,1,Kim Fields,1.6337942330277994e-05,0.013669474168878773,0.027322610395427268,0.02730627245309699
22,1,Mischa Barton,0.0,0.0002503651526760634,0.0005014115048140402,0.0005014115048140402
22,1,Doug Flutie,0.0,9.210419245527304e-05,0.00018509030304304428,0.00018509030304304428
22,1,Geraldo Rivera,0.0,1.2464946973213864e-05,2.5912816669427835e-05,2.5912816669427835e-05
22,2,Wanya Morris,0.000579062565242372,0.45736182676582565,0.914144590966409,0.9135655284011666
22,2,Paige VanZant,0.000579062565242372,0.45736182676582565,0.914144590966409,0.9135655284011666
22,2,Jodie Sweetin,2.7880819726169848e-05,0.022770704538041305,0.04551352825635644,0.04548564743663027
22,2,Ginger Zee,2.7880819726169848e-05,0.022770704538041305,0.04551352825635644,0.04548564743663027
22,2,Doug Flutie,9.625461525145443e-06,0.008376874060534662,0.016744122659544176,0.016734497198019033
22,2,Nyle DiMarco,9.625461525145443e-06,0.008376874060534662,0.016744122659544176,0.016734497198019033
22,2,Marla Maples,9.625461525145443e-06,0.008376874060534662,0.016744122659544176,0.016734497198019033
22,2,Von Miller,9.625461525145443e-06,0.008376874060534662,0.016744122659544176,0.016734497198019033
22,2,Kim Fields,2.909690551763499e-06,0.003081679748153042,0.006160449805754321,0.006157540115202557
22,2,Antonio Brown,2.909690551763499e-06,0.003081679748153042,0.006160449805754321,0.006157540115202557
22,2,Mischa Barton,0.0,5.644293343789642e-05,0.0001138130133481884,0.0001138130133481884
22,2,Geraldo Rivera,0.0,7.63872038352299e-06,1.626648448023642e-05,1.626648448023642e-05
